"item","fragment","logNaO","logMgO","logAlO","logSiO","logKO","logCaO","logFeO"
"s1","f1",-0.6603,-1.4683,-1.4683,-0.1463,-1.7047,-1.1096,-5.6778
"s1","f1",-0.6658,-1.4705,-1.4814,-0.1429,-1.7183,-1.1115,-5.3763
"s1","f1",-0.656,-1.4523,-1.4789,-0.1477,-1.6864,-1.1118,-5.6776
"s1","f2",-0.6309,-1.4707,-1.5121,-0.1823,-1.7743,-1.1306,-2.609
"s1","f2",-0.6332,-1.4516,-1.4996,-0.1792,-1.7577,-1.1332,-5.6871
"s1","f2",-0.6315,-1.4641,-1.4883,-0.171,-1.7548,-1.1291,-5.6842
"s1","f3",-0.642,-1.4437,-1.4708,-0.1165,-1.6789,-1.0358,-2.4307
"s1","f3",-0.6431,-1.4692,-1.4664,-0.1048,-1.6568,-1.0094,-5.6568
"s1","f3",-0.658,-1.4698,-1.4612,-0.0843,-1.5881,-0.9888,-5.6488
"s1","f4",-0.6477,-1.463,-1.4956,-0.1653,-1.7289,-1.1138,-5.6831
"s1","f4",-0.633,-1.4563,-1.4944,-0.1579,-1.7297,-1.1074,-5.6791
"s1","f4",-0.6424,-1.4607,-1.4987,-0.1669,-1.7591,-1.1199,-2.6042
"s2","f1",-0.6231,-1.3641,-1.654,-0.0964,-2.5357,-0.9993,-5.6496
"s2","f1",-0.6122,-1.3589,-1.6622,-0.0886,-5.6444,-0.9836,-5.3434
"s2","f1",-0.6108,-1.3742,-1.6935,-0.1205,-5.662,-1.0524,-5.662
"s2","f2",-0.6135,-1.3686,-1.7202,-0.1381,-2.7154,-1.083,-5.6696
"s2","f2",-0.6205,-1.3844,-1.6831,-0.1273,-2.5514,-1.0721,-5.3644
"s2","f2",-0.6204,-1.3692,-1.7269,-0.1199,-5.6614,-1.0392,-5.6614
"s2","f3",-0.6285,-1.4037,-1.7274,-0.1995,-2.6167,-1.1735,-5.6959
"s2","f3",-0.6236,-1.3945,-1.7434,-0.2039,-2.6977,-1.1831,-5.3966
"s2","f3",-0.6253,-1.383,-1.7399,-0.2099,-5.699,-1.1871,-5.699
"s2","f4",-0.6151,-1.3707,-1.7394,-0.1522,-2.5278,-1.0976,-5.6739
"s2","f4",-0.6149,-1.3841,-1.7148,-0.1593,-2.5025,-1.1247,-5.3776
"s2","f4",-0.6171,-1.3687,-1.7318,-0.1537,-2.6348,-1.1069,-5.6762
"s3","f1",-0.6152,-1.3832,-1.7201,-0.1826,-2.8435,-1.1741,-5.6886
"s3","f1",-0.6166,-1.3836,-1.6958,-0.1572,-2.6367,-1.117,-5.377
"s3","f1",-0.6137,-1.3737,-1.7141,-0.1918,-2.7375,-1.1759,-5.6918
"s3","f2",-0.6094,-1.3803,-1.69,-0.1779,-2.7826,-1.1632,-5.6857
"s3","f2",-0.6146,-1.3761,-1.6814,-0.1779,-2.7315,-1.1581,-5.3847
"s3","f2",-0.6164,-1.3825,-1.6564,-0.1756,-5.6857,-1.162,-5.6857
"s3","f3",-0.6123,-1.3581,-1.6525,-0.1006,-2.4484,-1.0201,-5.6525
"s3","f3",-0.6157,-1.3795,-1.6877,-0.0875,-2.4706,-0.9887,-5.3457
"s3","f3",-0.6157,-1.3795,-1.6877,-0.0875,-2.4706,-0.9887,-5.6467
"s3","f4",-0.6116,-1.3726,-1.6948,-0.0947,-2.5351,-0.9987,-5.649
"s3","f4",-0.6087,-1.3688,-1.6836,-0.1016,-2.5381,-1.0237,-5.351
"s3","f4",-0.6086,-1.353,-1.6914,-0.081,-2.4947,-0.9743,-5.6408
