size,sdscale,partition_type,time
2,1,p1,0.1299999998882413
2,1,p2,0.13000000012107193
2,1,p1,0.12000000011175871
2,1,p2,0.12000000011175871
2,1,p1,0.1299999998882413
2,1,p2,0.1299999998882413
2,1,p1,0.1299999998882413
2,1,p2,0.11000000010244548
2,1,p1,0.13000000012107193
2,1,p2,0.13000000012107193
2,1,p1,0.1299999998882413
2,1,p2,0.1299999998882413
2,1,p1,0.10999999986961484
2,1,p2,0.1299999998882413
2,1,p1,0.14000000013038516
2,1,p2,0.12000000011175871
2,1,p1,0.1299999998882413
2,1,p2,0.13999999989755452
2,1,p1,0.14000000013038516
2,1,p2,0.13000000012107193
2,2,p1,0.1299999998882413
2,2,p2,0.10999999986961484
2,2,p1,0.11999999987892807
2,2,p2,0.1299999998882413
2,2,p1,0.11000000010244548
2,2,p2,0.12000000011175871
2,2,p1,0.10000000009313226
2,2,p2,0.11999999987892807
2,2,p1,0.11999999987892807
2,2,p2,0.10999999986961484
2,2,p1,0.12000000011175871
2,2,p2,0.12000000011175871
2,2,p1,0.13000000012107193
2,2,p2,0.12000000011175871
2,2,p1,0.1299999998882413
2,2,p2,0.1299999998882413
2,2,p1,0.1299999998882413
2,2,p2,0.11000000010244548
2,2,p1,0.13000000012107193
2,2,p2,0.11000000010244548
2,3,p1,0.1299999998882413
2,3,p2,0.1299999998882413
2,3,p1,0.11999999987892807
2,3,p2,0.1299999998882413
2,3,p1,0.11000000010244548
2,3,p2,0.11000000010244548
2,3,p1,0.12000000011175871
2,3,p2,0.10999999986961484
2,3,p1,0.11999999987892807
2,3,p2,0.11999999987892807
2,3,p1,0.12000000011175871
2,3,p2,0.12000000011175871
2,3,p1,0.11000000010244548
2,3,p2,0.12000000011175871
2,3,p1,0.11999999987892807
2,3,p2,0.10999999986961484
2,3,p1,0.1299999998882413
2,3,p2,0.11000000010244548
2,3,p1,0.13000000012107193
2,3,p2,0.13000000012107193
2,4,p1,0.12000000011175871
2,4,p2,0.10999999986961484
2,4,p1,0.1299999998882413
2,4,p2,0.1299999998882413
2,4,p1,0.11000000010244548
2,4,p2,0.11000000010244548
2,4,p1,0.13000000012107193
2,4,p2,0.12000000011175871
2,4,p1,0.1299999998882413
2,4,p2,0.1299999998882413
2,4,p1,0.1299999998882413
2,4,p2,0.11000000010244548
2,4,p1,0.13000000012107193
2,4,p2,0.13000000012107193
2,4,p1,0.1299999998882413
2,4,p2,0.1299999998882413
2,4,p1,0.1299999998882413
2,4,p2,0.1299999998882413
2,4,p1,0.12000000011175871
2,4,p2,0.11000000010244548
2,5,p1,0.12000000011175871
2,5,p2,0.10999999986961484
2,5,p1,0.1299999998882413
2,5,p2,0.10999999986961484
2,5,p1,0.13000000012107193
2,5,p2,0.13000000012107193
2,5,p1,0.12000000011175871
2,5,p2,0.1299999998882413
2,5,p1,0.11999999987892807
2,5,p2,0.1299999998882413
2,5,p1,0.12000000011175871
2,5,p2,0.11000000010244548
2,5,p1,0.13000000012107193
2,5,p2,0.12000000011175871
2,5,p1,0.1299999998882413
2,5,p2,0.1299999998882413
2,5,p1,0.1299999998882413
2,5,p2,0.13000000012107193
2,5,p1,0.13000000012107193
2,5,p2,0.11000000010244548
2,6,p1,0.1299999998882413
2,6,p2,0.10999999986961484
2,6,p1,0.1299999998882413
2,6,p2,0.12000000011175871
2,6,p1,0.11000000010244548
2,6,p2,0.13000000012107193
2,6,p1,0.12000000011175871
2,6,p2,0.10999999986961484
2,6,p1,0.1299999998882413
2,6,p2,0.1299999998882413
2,6,p1,0.12000000011175871
2,6,p2,0.11000000010244548
2,6,p1,0.13000000012107193
2,6,p2,0.12000000011175871
2,6,p1,0.10999999986961484
2,6,p2,0.10999999986961484
2,6,p1,0.1299999998882413
2,6,p2,0.11000000010244548
2,6,p1,0.13000000012107193
2,6,p2,0.11000000010244548
3,1,p1,0.1299999998882413
3,1,p2,0.1299999998882413
3,1,p1,0.11999999987892807
3,1,p2,0.1299999998882413
3,1,p1,0.11000000010244548
3,1,p2,0.12000000011175871
3,1,p1,0.12000000011175871
3,1,p2,0.11999999987892807
3,1,p1,0.25
3,1,p2,0.22999999998137355
3,1,p1,0.12000000011175871
3,1,p2,0.13000000012107193
3,1,p1,0.13000000012107193
3,1,p2,0.11000000010244548
3,1,p1,0.1299999998882413
3,1,p2,0.1299999998882413
3,1,p1,0.1299999998882413
3,1,p2,0.11000000010244548
3,1,p1,0.12000000011175871
3,1,p2,0.10000000009313226
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.2300000002142042
3,2,p2,0.25
3,2,p1,0.12000000011175871
3,2,p2,0.13999999989755452
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.25
3,2,p2,0.25
3,2,p1,0.23999999999068677
3,2,p2,0.25
3,3,p1,0.25
3,3,p2,0.25
3,3,p1,0.25
3,3,p2,0.25
3,3,p1,0.40999999991618097
3,3,p2,0.25
3,3,p1,0.25
3,3,p2,0.25
3,3,p1,0.25
3,3,p2,0.25
3,3,p1,0.25
3,3,p2,0.22999999998137355
3,3,p1,0.25
3,3,p2,0.22999999998137355
3,3,p1,0.25
3,3,p2,0.22999999998137355
3,3,p1,0.25
3,3,p2,0.22999999998137355
3,3,p1,0.1299999998882413
3,3,p2,0.12000000011175871
3,4,p1,0.13000000012107193
3,4,p2,0.13000000012107193
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.25
3,4,p2,0.2600000000093132
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.23999999999068677
3,4,p2,0.25
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.25
3,4,p2,0.25
3,4,p1,0.23999999999068677
3,4,p2,0.2600000000093132
3,5,p1,0.22999999998137355
3,5,p2,0.25
3,5,p1,0.25
3,5,p2,0.25
3,5,p1,0.25
3,5,p2,0.25
3,5,p1,0.10999999986961484
3,5,p2,0.11999999987892807
3,5,p1,0.25
3,5,p2,0.27000000001862645
3,5,p1,0.22999999998137355
3,5,p2,0.25
3,5,p1,0.25
3,5,p2,0.25
3,5,p1,0.25
3,5,p2,0.2800000000279397
3,5,p1,0.3200000000651926
3,5,p2,0.27000000001862645
3,5,p1,0.27000000001862645
3,5,p2,0.23999999999068677
3,6,p1,0.2600000000093132
3,6,p2,0.25
3,6,p1,0.25
3,6,p2,0.23999999999068677
3,6,p1,0.25
3,6,p2,0.25
3,6,p1,0.27000000001862645
3,6,p2,0.2600000000093132
3,6,p1,0.25
3,6,p2,0.25
3,6,p1,0.25
3,6,p2,0.25
3,6,p1,0.25
3,6,p2,0.25
3,6,p1,0.12000000011175871
3,6,p2,0.12000000011175871
3,6,p1,0.22999999998137355
3,6,p2,0.25
3,6,p1,0.23999999999068677
3,6,p2,0.27000000001862645
4,1,p1,0.25
4,1,p2,0.25
4,1,p1,0.10999999986961484
4,1,p2,0.11999999987892807
4,1,p1,0.11999999987892807
4,1,p2,0.11000000010244548
4,1,p1,0.25
4,1,p2,0.25
4,1,p1,0.1299999998882413
4,1,p2,0.1299999998882413
4,1,p1,0.11999999987892807
4,1,p2,0.1299999998882413
4,1,p1,0.12000000011175871
4,1,p2,0.12000000011175871
4,1,p1,0.3700000001117587
4,1,p2,0.11999999987892807
4,1,p1,0.10999999986961484
4,1,p2,0.1299999998882413
4,1,p1,0.12000000011175871
4,1,p2,0.13000000012107193
4,2,p1,0.25
4,2,p2,0.25
4,2,p1,0.3799999998882413
4,2,p2,0.3799999998882413
4,2,p1,0.25
4,2,p2,0.27000000001862645
4,2,p1,0.3600000001024455
4,2,p2,0.3799999998882413
4,2,p1,0.36999999987892807
4,2,p2,0.3700000001117587
4,2,p1,0.38000000012107193
4,2,p2,0.3700000001117587
4,2,p1,0.25
4,2,p2,0.22999999998137355
4,2,p1,0.25
4,2,p2,0.25
4,2,p1,0.12000000011175871
4,2,p2,0.12000000011175871
4,2,p1,0.25
4,2,p2,0.22999999998137355
4,3,p1,0.3799999998882413
4,3,p2,0.38000000012107193
4,3,p1,0.3700000001117587
4,3,p2,0.3700000001117587
4,3,p1,0.25
4,3,p2,0.25
4,3,p1,0.3700000001117587
4,3,p2,0.38000000012107193
4,3,p1,0.25
4,3,p2,0.25
4,3,p1,0.36999999987892807
4,3,p2,0.3799999998882413
4,3,p1,0.38000000012107193
4,3,p2,0.38000000012107193
4,3,p1,0.12000000011175871
4,3,p2,0.1299999998882413
4,3,p1,0.36999999987892807
4,3,p2,0.5499999998137355
4,3,p1,0.3799999998882413
4,3,p2,0.35999999986961484
4,4,p1,0.38000000012107193
4,4,p2,0.3600000001024455
4,4,p1,0.35000000009313226
4,4,p2,0.36999999987892807
4,4,p1,0.3799999998882413
4,4,p2,0.35999999986961484
4,4,p1,0.25
4,4,p2,0.25
4,4,p1,0.25
4,4,p2,0.25
4,4,p1,0.35999999986961484
4,4,p2,0.3799999998882413
4,4,p1,0.11000000010244548
4,4,p2,0.13000000012107193
4,4,p1,0.38000000012107193
4,4,p2,0.3799999998882413
4,4,p1,0.25
4,4,p2,0.25
4,4,p1,0.3700000001117587
4,4,p2,0.38000000012107193
4,5,p1,0.25
4,5,p2,0.25
4,5,p1,0.3799999998882413
4,5,p2,0.39999999990686774
4,5,p1,0.25
4,5,p2,0.25
4,5,p1,0.3700000001117587
4,5,p2,0.3799999998882413
4,5,p1,0.3899999998975545
4,5,p2,0.3700000001117587
4,5,p1,0.38000000012107193
4,5,p2,0.3600000001024455
4,5,p1,0.3899999998975545
4,5,p2,0.35999999986961484
4,5,p1,0.3799999998882413
4,5,p2,0.38000000012107193
4,5,p1,0.25
4,5,p2,0.25
4,5,p1,0.23999999999068677
4,5,p2,0.25
4,6,p1,0.35999999986961484
4,6,p2,0.38000000012107193
4,6,p1,0.3700000001117587
4,6,p2,0.3700000001117587
4,6,p1,0.25
4,6,p2,0.25
4,6,p1,0.3700000001117587
4,6,p2,0.38000000012107193
4,6,p1,0.22999999998137355
4,6,p2,0.2600000000093132
4,6,p1,0.3899999998975545
4,6,p2,0.3799999998882413
4,6,p1,0.3700000001117587
4,6,p2,0.3600000001024455
4,6,p1,0.25
4,6,p2,0.25
4,6,p1,0.3799999998882413
4,6,p2,0.3600000001024455
4,6,p1,0.25
4,6,p2,0.25
5,1,p1,0.11999999987892807
5,1,p2,0.11999999987892807
5,1,p1,0.25
5,1,p2,0.25
5,1,p1,0.13000000012107193
5,1,p2,0.13000000012107193
5,1,p1,0.3700000001117587
5,1,p2,0.3899999998975545
5,1,p1,0.2600000000093132
5,1,p2,0.27000000001862645
5,1,p1,0.11000000010244548
5,1,p2,0.12000000011175871
5,1,p1,0.15999999991618097
5,1,p2,0.11999999987892807
5,1,p1,0.3899999998975545
5,1,p2,0.38000000012107193
5,1,p1,0.12000000011175871
5,1,p2,0.1299999998882413
5,1,p1,0.36999999987892807
5,1,p2,0.3799999998882413
5,2,p1,0.38000000012107193
5,2,p2,0.3700000001117587
5,2,p1,0.5
5,2,p2,0.5
5,2,p1,0.36999999987892807
5,2,p2,0.5300000000279397
5,2,p1,0.3899999998975545
5,2,p2,0.3700000001117587
5,2,p1,0.13000000012107193
5,2,p2,0.13000000012107193
5,2,p1,0.3799999998882413
5,2,p2,0.36999999987892807
5,2,p1,0.3799999998882413
5,2,p2,0.38000000012107193
5,2,p1,0.25
5,2,p2,0.22999999998137355
5,2,p1,0.36999999987892807
5,2,p2,0.3799999998882413
5,2,p1,0.3799999998882413
5,2,p2,0.3700000001117587
5,3,p1,0.38000000012107193
5,3,p2,0.3799999998882413
5,3,p1,0.36999999987892807
5,3,p2,0.3799999998882413
5,3,p1,0.5
5,3,p2,0.5
5,3,p1,0.5
5,3,p2,0.5
5,3,p1,0.3799999998882413
5,3,p2,0.40999999991618097
5,3,p1,0.5
5,3,p2,0.47999999998137355
5,3,p1,0.25
5,3,p2,0.22999999998137355
5,3,p1,0.3799999998882413
5,3,p2,0.38000000012107193
5,3,p1,0.5
5,3,p2,0.47999999998137355
5,3,p1,0.4899999999906868
5,3,p2,0.5
5,4,p1,0.5
5,4,p2,0.5
5,4,p1,0.4899999999906868
5,4,p2,0.5
5,4,p1,0.1299999998882413
5,4,p2,0.1299999998882413
5,4,p1,0.47999999998137355
5,4,p2,0.5
5,4,p1,0.47999999998137355
5,4,p2,0.5
5,4,p1,0.36999999987892807
5,4,p2,0.3799999998882413
5,4,p1,0.3799999998882413
5,4,p2,0.3700000001117587
5,4,p1,0.39000000013038516
5,4,p2,0.35999999986961484
5,4,p1,0.4899999999906868
5,4,p2,0.5
5,4,p1,0.38000000012107193
5,4,p2,0.3600000001024455
5,5,p1,0.5
5,5,p2,0.47999999998137355
5,5,p1,0.3799999998882413
5,5,p2,0.3799999998882413
5,5,p1,0.47999999998137355
5,5,p2,0.5200000000186265
5,5,p1,0.5
5,5,p2,0.5
5,5,p1,0.47999999998137355
5,5,p2,0.5
5,5,p1,0.5
5,5,p2,0.5
5,5,p1,0.47999999998137355
5,5,p2,0.5
5,5,p1,0.5500000000465661
5,5,p2,0.3799999998882413
5,5,p1,0.36999999987892807
5,5,p2,0.3700000001117587
5,5,p1,0.5
5,5,p2,0.4899999999906868
5,6,p1,0.5
5,6,p2,0.5
5,6,p1,0.5
5,6,p2,0.4899999999906868
5,6,p1,0.3700000001117587
5,6,p2,0.38000000012107193
5,6,p1,0.5
5,6,p2,0.5
5,6,p1,0.5
5,6,p2,0.5200000000186265
5,6,p1,0.5
5,6,p2,0.5
5,6,p1,0.36999999987892807
5,6,p2,0.3799999998882413
5,6,p1,0.3799999998882413
5,6,p2,0.39000000013038516
5,6,p1,0.5
5,6,p2,0.5
5,6,p1,0.4899999999906868
5,6,p2,0.47999999998137355
6,1,p1,0.1299999998882413
6,1,p2,0.11000000010244548
6,1,p1,0.38000000012107193
6,1,p2,0.3700000001117587
6,1,p1,0.11999999987892807
6,1,p2,0.10999999986961484
6,1,p1,0.1299999998882413
6,1,p2,0.12000000011175871
6,1,p1,0.38000000012107193
6,1,p2,0.3600000001024455
6,1,p1,0.3899999998975545
