n1,n2,delta_scales,power
8,8,0.5,0.201
9,8,0.5,0.199
10,8,0.5,0.229
11,8,0.5,0.255
12,8,0.5,0.263
13,8,0.5,0.276
14,8,0.5,0.319
8,9,0.5,0.2
9,9,0.5,0.236
10,9,0.5,0.279
11,9,0.5,0.272
12,9,0.5,0.307
13,9,0.5,0.325
14,9,0.5,0.355
8,10,0.5,0.249
9,10,0.5,0.256
10,10,0.5,0.283
11,10,0.5,0.301
12,10,0.5,0.329
13,10,0.5,0.351
14,10,0.5,0.392
8,11,0.5,0.248
9,11,0.5,0.276
10,11,0.5,0.296
11,11,0.5,0.356
12,11,0.5,0.373
13,11,0.5,0.398
14,11,0.5,0.391
8,12,0.5,0.255
9,12,0.5,0.322
10,12,0.5,0.316
11,12,0.5,0.342
12,12,0.5,0.377
13,12,0.5,0.399
14,12,0.5,0.429
8,13,0.5,0.281
9,13,0.5,0.33
10,13,0.5,0.348
11,13,0.5,0.371
12,13,0.5,0.426
13,13,0.5,0.436
14,13,0.5,0.481
8,14,0.5,0.302
9,14,0.5,0.347
10,14,0.5,0.387
11,14,0.5,0.368
12,14,0.5,0.403
13,14,0.5,0.494
14,14,0.5,0.478
8,8,1,0.7
9,8,1,0.749
10,8,1,0.796
11,8,1,0.837
12,8,1,0.863
13,8,1,0.899
14,8,1,0.909
8,9,1,0.757
9,9,1,0.808
10,9,1,0.826
11,9,1,0.887
12,9,1,0.902
13,9,1,0.919
14,9,1,0.933
8,10,1,0.805
9,10,1,0.848
10,10,1,0.898
11,10,1,0.922
12,10,1,0.931
13,10,1,0.957
14,10,1,0.965
8,11,1,0.819
9,11,1,0.877
10,11,1,0.918
11,11,1,0.939
12,11,1,0.951
13,11,1,0.96
14,11,1,0.974
8,12,1,0.854
9,12,1,0.892
10,12,1,0.928
11,12,1,0.954
12,12,1,0.973
13,12,1,0.975
14,12,1,0.978
8,13,1,0.892
9,13,1,0.926
10,13,1,0.948
11,13,1,0.976
12,13,1,0.98
13,13,1,0.979
14,13,1,0.987
8,14,1,0.941
9,14,1,0.939
10,14,1,0.963
11,14,1,0.969
12,14,1,0.986
13,14,1,0.985
14,14,1,0.996
8,8,1.5,0.968
9,8,1.5,0.982
10,8,1.5,0.991
11,8,1.5,0.998
12,8,1.5,1
13,8,1.5,1
14,8,1.5,1
8,9,1.5,0.983
9,9,1.5,0.992
10,9,1.5,0.997
11,9,1.5,0.998
12,9,1.5,0.999
13,9,1.5,1
14,9,1.5,1
8,10,1.5,0.997
9,10,1.5,0.998
10,10,1.5,1
11,10,1.5,0.999
12,10,1.5,0.999
13,10,1.5,1
14,10,1.5,1
8,11,1.5,0.998
9,11,1.5,1
10,11,1.5,1
11,11,1.5,1
12,11,1.5,1
13,11,1.5,1
14,11,1.5,1
8,12,1.5,1
9,12,1.5,0.999
10,12,1.5,1
11,12,1.5,0.999
12,12,1.5,1
13,12,1.5,1
14,12,1.5,1
8,13,1.5,0.998
9,13,1.5,0.999
10,13,1.5,1
11,13,1.5,1
